100 500
69 1 2
7 26 5
82 38 5
42 11 19
55 93 10
91 25 3
52 24 8
84 13 4
95 22 18
10 36 14
85 48 20
66 62 20
14 33 20
79 10 8
13 74 17
18 3 13
89 54 15
16 79 15
35 92 10
1 90 19
78 72 14
79 46 10
27 8 19
8 4 20
58 81 2
0 9 20
69 90 4
58 90 7
21 59 7
73 60 9
6 70 3
54 74 6
39 85 8
3 10 6
98 9 18
71 1 3
89 49 6
89 58 1
1 85 14
68 93 15
48 35 20
10 17 16
97 30 10
20 94 2
96 62 8
86 39 10
13 55 10
89 35 15
99 67 3
59 31 8
98 13 9
28 25 19
16 60 7
48 12 14
68 97 4
92 64 18
92 73 8
81 54 5
27 83 9
25 19 5
10 30 3
8 97 2
95 74 6
84 74 10
24 32 20
14 9 19
20 89 10
88 71 15
88 80 4
96 93 15
29 12 10
49 88 13
40 30 9
15 95 17
62 27 18
27 69 16
73 36 15
20 39 3
66 24 20
95 69 2
41 98 14
23 62 11
24 27 20
97 20 9
70 12 1
87 92 3
70 21 8
56 86 19
22 93 19
90 8 1
17 33 9
5 31 19
40 7 2
15 72 6
6 14 16
81 35 17
39 29 15
7 95 9
50 75 6
33 4 19
31 34 14
85 14 16
84 55 3
43 26 16
0 92 12
43 35 14
55 0 11
89 2 11
35 31 4
13 31 6
24 40 11
95 91 14
67 20 16
53 85 10
34 81 13
46 55 18
77 33 2
45 99 15
38 51 3
38 78 11
81 21 9
26 85 11
38 87 4
91 62 13
19 55 17
83 67 1
51 7 18
43 3 15
2 11 14
35 8 2
20 56 7
53 62 17
72 84 12
87 82 20
22 74 16
65 63 15
77 28 2
38 64 7
5 39 9
49 73 18
62 3 5
27 45 10
42 52 15
48 86 16
27 72 4
85 13 1
60 78 20
87 68 8
53 84 6
34 89 10
15 48 18
98 82 1
19 27 18
23 6 14
31 28 3
34 39 8
53 52 4
88 19 15
22 64 4
56 66 5
57 31 16
38 36 10
37 80 17
86 94 9
8 31 14
11 27 16
48 76 16
8 49 8
0 45 15
94 61 18
87 31 5
96 9 13
13 11 7
56 43 20
88 23 17
65 30 5
56 70 3
67 76 9
63 51 14
47 97 11
75 34 17
83 47 9
6 74 1
52 41 10
82 91 10
31 18 19
6 83 19
52 59 16
43 1 5
64 33 15
33 64 18
68 3 16
44 82 12
46 39 11
69 4 18
24 91 18
59 67 13
7 29 15
70 67 11
47 74 7
90 54 8
89 98 19
30 21 13
9 75 8
79 72 14
19 30 2
41 27 11
72 5 16
11 35 13
31 13 13
12 9 5
33 50 16
73 86 2
53 28 5
44 68 17
34 42 19
97 43 11
51 85 4
68 16 15
66 83 4
77 3 17
98 35 15
59 53 1
89 66 5
47 60 14
18 33 5
30 7 3
42 9 16
63 41 9
59 89 11
82 54 20
28 83 13
63 50 3
48 61 11
5 90 18
41 31 13
72 27 11
44 54 16
96 3 18
14 13 2
51 62 20
10 70 3
76 15 8
2 75 10
85 91 8
46 20 3
51 89 14
57 20 4
59 48 4
71 31 15
55 77 6
9 56 10
83 5 1
82 58 2
28 87 11
21 48 2
75 28 10
37 10 12
14 8 12
37 28 14
74 77 5
85 86 8
98 16 17
13 76 14
35 76 19
35 85 6
16 81 6
36 77 6
38 96 3
52 3 20
33 26 13
93 40 20
62 71 8
11 96 16
0 96 19
54 76 5
31 74 8
74 72 15
66 68 9
70 29 15
47 36 9
70 38 1
13 80 15
47 45 10
82 12 18
1 87 6
36 54 3
59 56 15
16 85 12
17 59 19
68 95 10
60 2 14
94 13 9
9 73 15
5 84 10
40 51 7
80 87 13
42 79 16
62 57 4
8 86 8
81 79 13
31 60 19
20 69 12
93 62 19
20 87 10
59 6 10
85 67 1
13 48 13
32 61 9
16 44 1
88 60 19
32 70 2
55 44 20
46 81 16
71 25 10
17 54 8
68 99 20
80 73 12
6 44 8
30 72 7
10 23 20
19 90 9
8 99 5
32 29 4
51 42 2
66 40 10
87 81 15
47 8 2
96 59 19
64 97 12
28 22 5
37 89 3
17 31 10
58 41 11
77 54 14
92 52 6
38 81 7
58 68 5
81 33 18
61 64 12
42 69 17
91 83 17
8 76 9
8 85 6
2 14 9
83 88 16
93 43 10
54 70 11
95 71 4
51 46 15
4 60 3
72 78 5
55 16 8
36 12 13
35 56 18
47 21 12
28 17 3
36 30 13
65 84 1
68 98 9
98 99 18
15 92 4
79 95 15
73 24 12
61 59 9
0 49 19
19 80 13
32 10 12
0 76 4
85 25 8
96 31 16
75 97 1
70 0 20
28 3 18
70 18 11
37 70 20
99 54 8
1 58 3
68 57 15
49 53 10
92 33 14
61 27 4
57 75 5
29 4 2
58 40 2
7 65 10
81 14 16
6 11 4
7 74 4
62 28 8
93 6 18
20 22 5
94 69 13
29 98 15
13 1 12
43 14 18
20 58 14
60 94 19
95 70 5
16 24 14
24 37 4
96 53 16
64 82 20
56 78 14
34 78 9
22 94 2
89 93 12
26 55 7
7 51 15
14 99 15
58 44 8
58 53 12
19 34 4
8 43 12
26 91 18
42 45 12
27 65 2
62 32 13
40 84 9
35 5 7
96 30 4
34 55 15
64 77 3
65 51 7
86 83 20
92 14 1
49 43 2
80 30 11
3 94 8
19 29 5
90 80 19
71 76 7
83 41 3
84 24 18
21 84 7
41 62 19
52 62 7
31 39 8
33 58 11
23 35 5
35 0 20
33 67 1
84 60 9
95 60 5
96 34 5
57 15 18
2 79 9
37 55 6
68 33 4
57 33 1
32 98 5
69 16 1
19 24 12
91 40 8
30 51 19
31 25 11
60 61 1
99 7 6
76 5 9
53 49 2
65 14 5
88 25 14
3 39 17
45 54 4
51 88 3
97 73 16
