100 500
55 57 20
24 97 13
55 75 5
47 71 8
18 44 2
8 18 19
40 50 4
0 23 7
10 36 1
73 74 15
51 64 11
74 75 14
2 68 5
43 69 14
74 84 7
24 65 14
22 46 17
24 83 20
35 83 16
16 79 2
15 25 5
47 57 17
47 66 7
16 97 18
5 60 11
9 58 16
21 41 17
40 54 13
9 85 11
58 99 6
42 82 15
42 91 18
81 82 11
39 85 18
44 51 12
23 77 9
84 93 20
3 28 16
43 64 7
12 95 8
14 37 9
43 91 18
47 61 10
21 54 8
19 84 10
3 5 10
2 49 7
3 23 16
4 77 11
35 55 16
51 81 12
13 73 18
35 73 9
36 47 10
76 83 4
16 78 19
28 43 18
47 56 13
9 39 13
46 88 12
47 65 5
28 61 10
46 97 2
57 97 10
9 57 3
77 84 12
61 67 15
77 93 9
50 76 16
8 70 7
69 98 7
27 92 18
39 57 9
20 53 18
42 99 9
62 77 5
10 39 4
54 73 20
32 36 19
13 41 8
84 92 8
51 67 2
23 85 17
72 99 8
43 72 8
56 91 2
57 74 4
5 45 14
65 96 11
6 19 16
18 91 4
61 80 5
42 85 1
52 98 18
51 53 6
12 71 14
24 36 16
43 49 16
53 81 7
43 58 10
95 96 11
16 50 10
56 86 2
56 95 3
57 60 19
5 31 8
17 42 18
68 78 2
46 96 6
18 77 14
27 64 6
58 79 2
8 60 13
71 98 16
82 98 6
20 34 10
10 11 2
39 47 1
20 43 10
23 39 19
19 87 20
75 86 4
31 61 11
83 99 10
13 31 15
64 67 18
43 44 17
23 75 16
64 76 5
46 46 17
56 90 15
17 19 9
65 68 7
45 99 4
65 77 11
57 73 6
76 86 15
18 72 9
7 81 6
90 97 1
30 73 11
20 38 10
11 78 19
41 79 7
39 60 6
0 78 20
11 87 13
44 93 14
16 22 17
33 93 11
64 71 3
56 67 13
13 44 4
45 85 6
57 59 5
17 23 16
86 95 11
14 97 8
49 64 1
59 96 9
15 71 13
38 82 8
11 55 15
40 91 9
30 68 11
60 69 10
11 64 19
41 92 19
10 86 1
13 30 9
37 58 12
16 35 8
56 80 2
34 89 4
5 25 15
67 95 10
49 59 6
36 98 13
30 36 17
79 87 10
30 45 4
8 45 10
42 47 12
63 88 20
11 50 8
48 99 8
60 64 5
21 82 16
34 57 5
64 70 15
2 95 20
53 79 12
22 82 14
26 43 18
15 52 16
17 89 18
7 75 7
48 76 8
30 40 20
90 91 3
30 49 17
6 79 15
82 96 17
29 90 12
33 60 3
52 73 19
41 73 4
60 86 2
2 63 18
10 76 17
53 56 7
10 85 19
14 55 18
18 25 5
67 76 6
26 38 11
15 38 17
15 47 15
70 81 4
89 94 7
67 94 19
78 94 16
27 30 3
48 71 17
30 44 15
6 74 2
40 85 15
6 83 5
6 92 17
41 77 14
54 96 15
33 73 19
1 13 2
34 56 18
51 90 15
7 20 10
67 80 1
19 21 13
8 30 9
17 97 1
40 80 7
73 86 19
34 42 3
7 15 2
43 99 14
3 63 12
55 64 3
36 60 18
28 65 2
36 78 3
18 42 16
59 89 2
29 57 10
9 88 14
9 97 6
10 34 5
6 82 14
25 32 12
81 94 13
62 90 15
39 97 13
14 31 13
66 78 3
7 19 18
47 64 5
47 73 12
8 11 4
0 7 6
77 92 18
29 52 13
6 50 17
9 83 5
80 88 8
5 94 1
62 67 1
81 89 10
39 83 15
10 47 18
39 92 14
12 93 18
43 71 13
51 84 8
14 44 8
47 50 15
43 98 12
59 61 5
17 55 9
59 70 7
36 68 4
16 99 2
17 73 14
21 61 20
8 91 1
54 67 8
10 42 7
54 85 3
73 98 4
22 25 20
23 88 2
4 84 15
13 71 20
24 71 2
17 32 8
13 80 2
65 81 13
17 41 15
76 90 8
9 37 18
16 85 7
36 63 2
50 65 5
77 91 17
21 38 10
19 77 8
19 86 19
11 82 11
20 96 19
72 97 20
13 57 11
16 71 8
28 54 10
9 50 5
49 86 17
58 64 8
39 50 14
20 46 10
2 10 9
32 47 2
3 11 18
87 99 19
35 70 6
46 67 14
65 80 18
49 72 16
9 36 2
38 72 12
6 12 13
49 81 17
5 56 11
6 30 14
19 58 14
8 67 5
39 45 10
0 63 13
20 41 6
91 92 18
20 50 16
27 98 8
39 63 8
12 55 10
12 64 5
51 55 15
35 38 2
53 74 18
72 87 14
84 89 14
24 47 18
34 88 17
56 88 5
37 84 13
38 58 8
5 51 9
26 83 7
27 48 11
27 57 3
39 40 15
83 83 12
4 37 3
20 63 18
32 37 7
64 69 2
53 78 9
45 74 13
5 10 20
14 86 20
9 17 2
5 28 3
17 30 7
27 34 19
38 80 18
27 43 7
15 78 16
82 86 7
19 66 11
20 31 10
4 32 1
94 96 7
23 63 7
24 28 4
53 73 16
45 78 8
5 5 20
46 52 7
3 81 13
97 97 8
9 21 18
46 70 11
14 99 10
49 66 13
70 98 15
6 6 18
38 75 12
82 99 10
40 93 9
19 70 12
12 40 17
83 91 16
25 77 15
33 90 4
44 90 16
44 99 11
45 64 7
10 97 12
64 77 11
33 99 14
14 67 2
37 69 19
3 76 8
78 79 5
15 41 1
86 92 9
49 52 18
22 98 19
46 65 19
57 65 14
3 94 10
55 95 5
9 16 7
15 59 11
18 55 8
19 20 13
18 82 19
79 98 8
19 56 16
30 56 18
60 66 11
56 59 9
22 57 16
66 91 16
3 53 15
3 71 6
15 36 12
46 51 6
18 32 5
14 89 18
36 86 16
71 71 6
79 84 18
8 42 2
63 76 17
6 72 2
40 92 3
29 92 2
4 17 1
62 98 14
53 58 5
59 65 8
70 74 3
67 87 5
27 32 1
9 82 7
5 93 17
63 80 15
40 78 12
12 16 2
21 92 20
44 57 20
10 55 16
2 51 16
10 64 1
44 66 1
2 60 18
37 54 18
18 31 14
16 98 1
36 76 1
59 87 17
8 14 9
47 94 18
28 90 10
48 68 1
11 28 17
40 73 14
6 80 6
40 82 4
4 7 4
10 41 17
10 50 5
4 16 8
62 88 7
54 84 20
2 46 17
39 95 9
2 55 12
54 93 9
3 20 13
51 87 3
13 70 12
37 49 13
74 98 15
